ts,protocol,role,bytes_sent,bytes_recv,segments_sent,segments_recv,frames_sent,frames_recv,frames_dropped,segment_drops,encode_ms_avg,decode_ms_avg,reassembly_ms_avg,latency_ms_avg,jitter_ms_avg,cpu_pct,mem_pct
1764488939.5723262,UDP,av_app,0,0,0,0,0,0,0,0,,,,33.96399287550805,2.175613718081204,0.0,89.6
1764488939.5723262,TCP,av_app,0,0,0,0,0,0,0,0,,,,74.72078432611771,3.6985433207380467,0.0,89.6
1764488939.5723262,SCTP,av_app,0,0,0,0,0,0,0,0,,,,44.15319073816046,2.3931750898893247,0.0,89.6
1764488964.2373457,UDP,av_app,0,0,0,0,0,0,0,0,,,,36.84708140278039,1.5858150896904122,0.0,92.4
1764488964.2373457,TCP,av_app,0,0,0,0,0,0,0,0,,,,81.06357908611686,2.6958856524737005,0.0,92.4
1764488964.2373457,SCTP,av_app,0,0,0,0,0,0,0,0,,,,47.90120582361451,1.7443965986594536,0.0,92.4
1764488967.258708,UDP,av_app,0,0,0,0,0,0,0,0,,,,29.513330957448872,3.0372259898301563,0.0,92.5
1764488967.258708,TCP,av_app,0,0,0,0,0,0,0,0,,,,64.92932810638753,5.163284182711266,0.0,92.5
1764488967.258708,SCTP,av_app,0,0,0,0,0,0,0,0,,,,38.36733024468354,3.3409485888131725,0.0,92.5
1764489330.3920639,UDP,av_app,0,0,0,0,0,0,0,0,,,,36.323907488716316,2.7323527094923348,0.0,85.5
1764489330.3920639,TCP,av_app,0,0,0,0,0,0,0,0,,,,79.9125964751759,4.644999606136969,0.0,85.5
1764489330.3920639,SCTP,av_app,0,0,0,0,0,0,0,0,,,,47.22107973533121,3.0055879804415686,0.0,85.5
1764489331.3976438,UDP,av_app,0,0,0,0,0,0,0,0,0.7078937451296952,,,35.212911105994806,1.1029896022302927,12.5,85.8
1764489331.3976438,TCP,av_app,0,0,0,0,0,0,0,0,0.7078937451296952,,,77.46840443318858,1.8750823237914975,12.5,85.8
1764489331.3976438,SCTP,av_app,0,0,0,0,0,0,0,0,0.7078937451296952,,,45.776784437793246,1.213288562453322,12.5,85.8
1764489332.4040759,UDP,av_app,0,0,0,0,0,0,0,0,0.4868140586040681,,,24.66598464839012,3.648331276989024,7.6,85.8
1764489332.4040759,TCP,av_app,0,0,0,0,0,0,0,0,0.4868140586040681,,,54.26516622645826,6.202163170881341,7.6,85.8
1764489332.4040759,SCTP,av_app,0,0,0,0,0,0,0,0,0.4868140586040681,,,32.06578004290716,4.0131644046879265,7.6,85.8
1764489333.4105513,UDP,av_app,0,0,0,0,0,0,0,0,0.4001721630554608,,,24.615465837783425,2.4152390120028797,8.6,85.8
1764489333.4105513,TCP,av_app,0,0,0,0,0,0,0,0,0.4001721630554608,,,54.15402484312354,4.105906320404896,8.6,85.8
1764489333.4105513,SCTP,av_app,0,0,0,0,0,0,0,0,0.4001721630554608,,,32.000105589118455,2.656762913203168,8.6,85.8
1764489334.4214244,UDP,av_app,0,0,0,0,0,0,0,0,0.36413307489755636,,,20.23146418233165,1.9872683009528291,12.7,85.3
1764489334.4214244,TCP,av_app,0,0,0,0,0,0,0,0,0.36413307489755636,,,44.509221201129634,3.3783561116198095,12.7,85.3
1764489334.4214244,SCTP,av_app,0,0,0,0,0,0,0,0,0.36413307489755636,,,26.300903437031145,2.185995131048112,12.7,85.3
1764489335.4289553,UDP,av_app,0,0,0,0,0,0,0,0,0.343568710555991,,,20.043417755943185,4.756796047076237,10.7,85.3
